Year,Rank,Title,Artist,Spotify ID,Genres,Duration,Popularity
2006,1,Bad Day,Daniel Powter,0mUyMawtxj1CJ76kn9gIZK,,3:53,71
2006,2,Temperature,Sean Paul,0k2GOhqsrxDTAbFFSdNJjT,dancehall,3:38,78
2006,3,Promiscuous,"Nelly Furtado, Timbaland",2gam98EZKrF9XuOkU13ApN,,4:02,83
2006,4,You're Beautiful,James Blunt,0vg4WnUWvze6pBOJDTq99k,,3:29,73
2006,5,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",3ZFTkvIE7kyPt6Nu3PEa7V,"latin pop, latin",3:38,84
2006,6,Unwritten,Natasha Bedingfield,3U5JVgI2x4rDyHGObzJfNf,,4:19,84
2006,7,CRAZY,LE SSERAFIM,3AoEQRuFf8zVXWqSLo2UOi,k-pop,2:44,79
2006,8,Ridin',"Chamillionaire, Krayzie Bone",3kZoay4ANo86ehb6s4RwS9,southern hip hop,5:03,66
2006,9,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",0O45fw2L5vsWpdsOdXwNAR,,4:02,79
2006,10,Check On It (feat. Bun B & Slim Thug),"Beyoncé, Bun B, Slim Thug",2RWxrpsFshOBFwRBRstUlQ,,3:30,58
2006,11,Be Without You - Kendu Mix,Mary J. Blige,6Y3WvyUG9iE5bQYg38SPtQ,r&b,4:06,66
2006,12,Grillz,"Nelly, Paul Wall, Ali & Gipp",0Aqlt4N5h6rUtKnd09VXpr,,4:31,55
2006,13,Over My Head (Cable Car),The Fray,1N62wozuHCvczCkY4QidpP,,3:56,68
2006,14,Me & U,Cassie,7k6IzwMGpxnRghE7YosnXT,,3:12,74
2006,15,Buttons,The Pussycat Dolls,3BxWKCI06eQ5Od8TY2JBeA,,3:45,64
2006,16,Run It! (feat. Juelz Santana),"Chris Brown, Juelz Santana",7xYnUQigPoIDAMPVK79NEq,r&b,3:49,74
2006,17,So Sick,Ne-Yo,6brl7bwOHmGFkNw3MBqssT,,3:27,77
2006,18,It's Goin' Down,Celly Cel,6QdZhhQc4wYEi7amJKuWqu,"g-funk, west coast hip hop, hyphy, gangster rap",5:24,47
2006,19,SOS,Rihanna,30cSNer6TV8x2utjULVeQ5,,3:58,76
2006,20,I Write Sins Not Tragedies,Panic! At The Disco,4bPQs0PHn4xbipzdPfn6du,"emo, pop punk",3:06,70
2006,21,Move Along,The All-American Rejects,2l57cfmCnOkwNX1tky02n1,"pop punk, emo",3:58,67
2006,22,London Bridge,Fergie,7jRoWfRlLnGYEIEn4t4kbq,,4:01,63
2006,23,Dani California,Red Hot Chili Peppers,10Nmj3JCNoMeBQ87uw5j8k,"funk rock, alternative rock, rock",4:42,75
2006,24,Snap Yo Fingers,"Lil Jon, E-40, Sean Paul",6o3s08kk2fQI37vxGZDrJ1,crunk,4:34,66
2006,25,"Lean Wit It, Rock Wit It","Dem Franchize Boyz, Peanut, Charlay",7cVmKBwzPsh4Fmb6SplfEm,"crunk, southern hip hop",3:49,57
2006,26,What Hurts The Most,Rascal Flatts,4bVuIlGQBMWS7vIhcx8Ae4,country,3:34,68
2006,27,How to Save a Life,The Fray,5fVZC9GiM4e8vu99W0Xf6J,,4:22,80
2006,28,Unfaithful,Rihanna,13xxBnXOuiBxVxJI458B0i,,3:46,68
2006,29,Chasing Cars,Snow Patrol,5hnyJvgoWiQUYZttV4wXy6,,4:27,80
2006,30,Lips Of An Angel,Hinder,40LQiUUUKXVGyNs09lHVjW,post-grunge,4:21,73
2006,31,Everytime We Touch,Cascada,5YJtMNWKe55yr49cyJgxva,"eurodance, europop",3:17,73
2006,32,Ain't No Other Man,Christina Aguilera,7huo2wvrCgRucUsjdSDLQV,,3:48,59
2006,33,"Dance, Dance",Fall Out Boy,0a7BloCiNzLDD9qSQHh5m7,"emo, pop punk",3:00,75
2006,34,Gold Digger,"Kanye West, Jamie Foxx",1PS1QMdUqOal0ai3Gt7sDQ,rap,3:27,78
2006,35,Money Maker,"Ludacris, Pharrell Williams",2JpUkUR0OsOlUUfm6iS8ic,southern hip hop,3:50,56
2006,36,Ms. New Booty,"Bubba Sparxxx, Ying Yang Twins, Mr. Collipark",01yJb0xHAvf0Sac9eJBy6O,"country hip hop, southern hip hop",4:40,42
2006,37,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,"Sean Paul, Keyshia Cole",6k8uthjEbttfWXcGaNTQGD,dancehall,4:03,50
2006,38,Photograph,Ed Sheeran,1HNkqx9Ahdgi1Ixy2xkKkL,soft pop,4:18,82
2006,39,Because Of You,Ne-Yo,6CFPFnS9EcLs2I0nWqtWci,,4:26,74
2006,40,Stickwitu,The Pussycat Dolls,4NjR63Up0uMkQBlKvlZd1l,,3:27,59
2006,41,I'm N Luv (Wit a Stripper) (feat. Mike Jones),"T-Pain, Mike Jones",2QurCbkPO14pjrikPNja0h,,3:59,63
2006,42,My Humps,Black Eyed Peas,19JdbdEwQI7bCxefMokZO8,,5:26,64
2006,43,Where'd You Go (feat. Holly Brook & Jonah Matranga),"Fort Minor, Holly Brook, Jonah Matranga",7pAT4dOUzjq8Ziap5ShIqC,rap rock,3:51,52
2006,44,Yo (Excuse Me Miss),Chris Brown,7DFnq8FYhHMCylykf6ZCxA,r&b,3:49,72
2006,45,Walk Away,James Gang,65aeHyw8GdHFwmEvdSns21,"classic rock, southern rock",3:32,51
2006,46,Laffy Taffy,D4L,2ajhenDRiiAnCHHjsIOHhJ,"crunk, southern hip hop",3:44,65
2006,47,What You Know,Two Door Cinema Club,4iZxeyibg6w4EFCOoAQ6Eh,"indie, indietronica",3:11,77
2006,48,Dirty Little Secret,The All-American Rejects,5lDriBxJd22IhOH9zTcFrV,"pop punk, emo",3:13,69
2006,49,Savin' Me,Nickelback,4Gd9PUEuOTOJtbgd4YxLXM,"post-grunge, rock",3:39,64
2006,50,Don't Forget About Us - Radio Edit,Mariah Carey,1HkVSmzBbdZ5Bzdd00IZgh,christmas,3:53,56
2006,51,Sexy Love,Ne-Yo,10aWGOqSDBqvNzJ9NeKDbK,,3:40,69
2006,52,U and Dat (feat. T. Pain & Kandi Girl),"E-40, T-Pain, Kandi Girl",7g7M96UGiA7OR79H86gV4m,"hyphy, west coast hip hop, g-funk",3:22,60
2006,53,Far Away,Nickelback,0ADZ5dmXhlfzjMw6lefoPl,"post-grunge, rock",3:58,67
2006,54,What's Left Of Me,Grace VanderWaal,2KCHayVgv4Svp1ETPNsk7l,,3:15,53
2006,55,So What,P!nk,0JiY190vktuhSGN6aqJdrt,,3:35,75
2006,56,Do It To It,"ACRAZE, Cherish",20on25jryn53hWghthWWW3,tech house,2:37,75
2006,57,Black Horse And The Cherry Tree,KT Tunstall,0qAMjeQFyd1qD0LDiV8gWp,,2:52,61
2006,58,There It Go (The Whistle Song),Juelz Santana,0f7gbjwkZOs9loj2fr0lGH,,3:00,59
2006,59,Shoulder Lean (feat. T.I.),"Young Dro, T.I.",2OqYarizUUGzSSNHPrDEii,"southern hip hop, crunk",4:18,55
2006,60,Unpredictable (feat. Ludacris) - Main,"Jamie Foxx, Ludacris",3UNrtRxBBlWE70SjxnOo02,,3:39,50
2006,61,My Love Mine All Mine,Mitski,3vkCueOmm7xQDoJ17W1Pm3,,2:17,87
