Year,Rank,Title,Artist,First Feature,Second Feature,Genres,Duration,Popularity,Spotify ID
2006,1,Bad Day,Daniel Powter,,,,3:53,71,0mUyMawtxj1CJ76kn9gIZK
2006,2,Temperature,Sean Paul,,,dancehall,3:38,78,0k2GOhqsrxDTAbFFSdNJjT
2006,3,Promiscuous,Nelly Furtado,Timbaland,,,4:02,83,2gam98EZKrF9XuOkU13ApN
2006,4,You're Beautiful,James Blunt,,,,3:29,73,0vg4WnUWvze6pBOJDTq99k
2006,5,Hips Don't Lie (feat. Wyclef Jean),Shakira,Wyclef Jean,,"latin pop, latin",3:38,84,3ZFTkvIE7kyPt6Nu3PEa7V
2006,6,Unwritten,Natasha Bedingfield,,,,4:19,84,3U5JVgI2x4rDyHGObzJfNf
2006,7,CRAZY,LE SSERAFIM,,,k-pop,2:44,79,3AoEQRuFf8zVXWqSLo2UOi
2006,8,Ridin',Chamillionaire,Krayzie Bone,,southern hip hop,5:03,66,3kZoay4ANo86ehb6s4RwS9
2006,9,SexyBack (feat. Timbaland),Justin Timberlake,Timbaland,,,4:02,79,0O45fw2L5vsWpdsOdXwNAR
2006,10,Check On It (feat. Bun B & Slim Thug),Beyoncé,Bun B,Slim Thug,,3:30,58,2RWxrpsFshOBFwRBRstUlQ
2006,11,Be Without You - Kendu Mix,Mary J. Blige,,,r&b,4:06,66,6Y3WvyUG9iE5bQYg38SPtQ
2006,12,Grillz,Nelly,Paul Wall,Ali & Gipp,,4:31,55,0Aqlt4N5h6rUtKnd09VXpr
2006,13,Over My Head (Cable Car),The Fray,,,,3:56,68,1N62wozuHCvczCkY4QidpP
2006,14,Me & U,Cassie,,,,3:12,74,7k6IzwMGpxnRghE7YosnXT
2006,15,Buttons,The Pussycat Dolls,,,,3:45,64,3BxWKCI06eQ5Od8TY2JBeA
2006,16,Run It! (feat. Juelz Santana),Chris Brown,Juelz Santana,,r&b,3:49,74,7xYnUQigPoIDAMPVK79NEq
2006,17,So Sick,Ne-Yo,,,,3:27,77,6brl7bwOHmGFkNw3MBqssT
2006,18,It's Goin' Down,Celly Cel,,,"g-funk, west coast hip hop, hyphy, gangster rap",5:24,47,6QdZhhQc4wYEi7amJKuWqu
2006,19,SOS,Rihanna,,,,3:58,76,30cSNer6TV8x2utjULVeQ5
2006,20,I Write Sins Not Tragedies,Panic! At The Disco,,,"emo, pop punk",3:06,70,4bPQs0PHn4xbipzdPfn6du
2006,21,Move Along,The All-American Rejects,,,"pop punk, emo",3:58,67,2l57cfmCnOkwNX1tky02n1
2006,22,London Bridge,Fergie,,,,4:01,63,7jRoWfRlLnGYEIEn4t4kbq
